date,Conflict,Disaster,Disease,Fund,Political/Social Unrest,Water Insecurity
20130701,0.0,0.0,1.0,0.0,0.0,0.0
20130731,0.0,0.0,0.0,0.0,2.0,0.0
20130920,0.0,0.0,0.0,0.0,1.0,0.0
20131018,0.0,0.0,0.0,0.0,1.0,0.0
20131115,0.0,0.0,1.0,0.0,0.0,0.0
20131119,0.0,1.0,0.0,0.0,0.0,0.0
20131122,0.0,1.0,0.0,0.0,0.0,0.0
20131125,0.0,1.0,0.0,0.0,0.0,0.0
20131129,0.0,1.0,0.0,0.0,0.0,0.0
20131202,1.0,0.0,0.0,0.0,0.0,0.0
20131203,0.0,3.0,0.0,0.0,0.0,0.0
20131204,1.0,1.0,0.0,0.0,0.0,0.0
20131205,0.0,1.0,0.0,0.0,0.0,0.0
20131218,0.0,1.0,0.0,0.0,0.0,0.0
20131219,0.0,1.0,0.0,0.0,0.0,0.0
20131230,0.0,1.0,0.0,0.0,0.0,0.0
20140514,2.0,0.0,0.0,0.0,0.0,0.0
20140516,0.0,4.0,0.0,0.0,0.0,0.0
20140519,2.0,2.0,0.0,0.0,0.0,0.0
20140520,0.0,2.0,0.0,0.0,0.0,0.0
20140521,1.0,0.0,0.0,0.0,1.0,0.0
20140522,1.0,1.0,0.0,0.0,0.0,0.0
20140523,2.0,1.0,0.0,0.0,0.0,0.0
20140605,1.0,0.0,0.0,0.0,0.0,0.0
20140606,1.0,0.0,0.0,0.0,0.0,0.0
20140616,0.0,4.0,0.0,0.0,0.0,1.0
20140617,1.0,0.0,0.0,0.0,0.0,0.0
20140619,2.0,3.0,0.0,0.0,0.0,0.0
20140620,2.0,0.0,0.0,0.0,1.0,0.0
20140623,1.0,2.0,0.0,0.0,0.0,0.0
20140624,1.0,1.0,0.0,0.0,0.0,0.0
20140625,5.0,2.0,0.0,0.0,0.0,0.0
20140702,3.0,0.0,0.0,0.0,0.0,0.0
20140707,0.0,2.0,0.0,0.0,0.0,0.0
20140708,3.0,0.0,0.0,0.0,0.0,0.0
20140709,0.0,2.0,0.0,0.0,0.0,0.0
20140710,2.0,2.0,0.0,0.0,0.0,0.0
