date,Conflict,Disaster,Disease,Food Insecurity,Fund,Political,Water Insecurity
20130628,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20130701,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130715,1.0,2.0,0.0,0.0,0.0,0.0,0.0
20130717,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130729,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130730,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130731,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130809,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130812,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20130813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130815,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130827,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130905,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130909,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130910,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130911,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130912,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130913,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130916,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20130919,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130920,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130923,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20130924,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20130926,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20130927,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130930,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131010,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131011,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131014,0.0,2.0,0.0,0.0,0.0,0.0,0.0
20131016,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131017,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131018,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131023,1.0,3.0,0.0,0.0,0.0,0.0,0.0
20131024,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20131025,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131030,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131031,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131106,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131107,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131108,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131111,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131112,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131113,0.0,0.0,0.0,0.0,0.0,0.0,3.0
20131115,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131118,0.0,2.0,0.0,0.0,0.0,0.0,0.0
20131119,1.0,1.0,0.0,0.0,1.0,0.0,0.0
20131120,0.0,2.0,0.0,0.0,0.0,0.0,0.0
20131121,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131122,0.0,2.0,0.0,0.0,0.0,0.0,0.0
