date,Conflict,Disaster,Disease,Fund,Political,Water Insecurity
20130625,1.0,0.0,0.0,0.0,0.0,0.0
20130626,2.0,0.0,0.0,0.0,0.0,0.0
20130628,3.0,0.0,0.0,0.0,0.0,0.0
20130701,1.0,0.0,0.0,0.0,0.0,0.0
20130702,1.0,1.0,0.0,0.0,0.0,0.0
20130710,1.0,0.0,0.0,0.0,0.0,0.0
20130711,2.0,0.0,0.0,0.0,0.0,0.0
20130712,2.0,0.0,0.0,0.0,0.0,0.0
20130715,3.0,0.0,0.0,0.0,0.0,0.0
20130716,3.0,0.0,0.0,0.0,0.0,0.0
20130717,3.0,0.0,0.0,0.0,0.0,0.0
20130718,1.0,0.0,0.0,0.0,0.0,0.0
20130724,2.0,0.0,0.0,0.0,0.0,0.0
20130725,2.0,1.0,0.0,0.0,0.0,0.0
20130730,3.0,0.0,0.0,0.0,2.0,0.0
20130731,2.0,0.0,0.0,0.0,0.0,0.0
20130801,3.0,0.0,0.0,0.0,0.0,0.0
20130809,0.0,1.0,0.0,0.0,1.0,0.0
20130812,1.0,0.0,0.0,0.0,0.0,0.0
20130813,4.0,0.0,0.0,0.0,0.0,0.0
20130814,1.0,0.0,0.0,0.0,0.0,0.0
20130815,1.0,0.0,0.0,0.0,0.0,0.0
20130827,2.0,0.0,0.0,0.0,0.0,0.0
20130905,1.0,0.0,1.0,0.0,0.0,0.0
20130906,1.0,0.0,0.0,0.0,1.0,0.0
20130909,2.0,0.0,0.0,0.0,0.0,0.0
20130910,1.0,1.0,0.0,0.0,0.0,0.0
20130911,4.0,0.0,0.0,0.0,0.0,0.0
20130912,4.0,0.0,0.0,0.0,0.0,1.0
20130913,2.0,0.0,0.0,0.0,0.0,0.0
20130916,1.0,0.0,0.0,0.0,1.0,0.0
20130919,1.0,0.0,0.0,0.0,0.0,0.0
20130920,3.0,2.0,0.0,0.0,0.0,0.0
20130923,3.0,1.0,0.0,0.0,0.0,0.0
20130924,1.0,0.0,0.0,0.0,0.0,1.0
20130926,0.0,1.0,0.0,0.0,0.0,0.0
20130927,1.0,1.0,0.0,0.0,0.0,0.0
20130930,2.0,1.0,0.0,0.0,0.0,0.0
20131004,1.0,0.0,0.0,0.0,0.0,0.0
20131008,1.0,1.0,0.0,0.0,0.0,0.0
20131009,2.0,0.0,0.0,0.0,0.0,0.0
20131010,1.0,0.0,0.0,0.0,0.0,0.0
20131011,1.0,0.0,0.0,0.0,0.0,0.0
20131014,3.0,1.0,0.0,0.0,0.0,0.0
20131016,1.0,1.0,0.0,0.0,1.0,0.0
20131017,2.0,1.0,0.0,0.0,0.0,0.0
20131018,3.0,0.0,0.0,0.0,0.0,0.0
20131023,1.0,0.0,0.0,0.0,0.0,0.0
20131024,1.0,1.0,0.0,0.0,0.0,0.0
20131025,3.0,0.0,0.0,0.0,0.0,0.0
20131030,0.0,0.0,0.0,0.0,0.0,1.0
20131031,0.0,1.0,0.0,0.0,0.0,0.0
20131104,3.0,0.0,0.0,0.0,0.0,1.0
20131105,1.0,1.0,0.0,0.0,0.0,0.0
20131106,1.0,0.0,0.0,0.0,0.0,0.0
20131107,2.0,0.0,0.0,0.0,1.0,0.0
20131108,2.0,2.0,0.0,0.0,0.0,0.0
20131111,2.0,0.0,0.0,0.0,0.0,0.0
20131112,3.0,0.0,0.0,0.0,0.0,0.0
20131113,1.0,0.0,0.0,0.0,0.0,0.0
20131118,1.0,0.0,0.0,0.0,0.0,0.0
20131121,1.0,0.0,0.0,0.0,0.0,0.0
20131122,0.0,1.0,0.0,0.0,0.0,0.0
20131125,1.0,0.0,0.0,0.0,0.0,0.0
20131129,1.0,0.0,0.0,0.0,0.0,0.0
20131202,2.0,0.0,0.0,0.0,0.0,0.0
20131203,2.0,0.0,0.0,0.0,0.0,0.0
20131204,2.0,1.0,0.0,0.0,0.0,0.0
20131205,0.0,1.0,0.0,0.0,0.0,0.0
20131218,1.0,0.0,0.0,0.0,0.0,0.0
20131219,0.0,0.0,0.0,0.0,1.0,0.0
20131230,0.0,1.0,0.0,0.0,0.0,0.0
20140516,0.0,0.0,0.0,0.0,0.0,1.0
20140519,1.0,0.0,0.0,0.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0,1.0,0.0
20140522,1.0,0.0,0.0,0.0,0.0,0.0
20140523,1.0,0.0,0.0,0.0,0.0,0.0
20140605,1.0,0.0,0.0,0.0,0.0,0.0
20140606,1.0,0.0,0.0,0.0,0.0,0.0
20140616,1.0,0.0,0.0,0.0,0.0,0.0
20140617,1.0,0.0,0.0,0.0,1.0,0.0
20140619,0.0,1.0,0.0,0.0,0.0,0.0
20140620,3.0,0.0,1.0,0.0,0.0,0.0
20140623,1.0,0.0,0.0,0.0,0.0,0.0
20140624,1.0,0.0,0.0,0.0,0.0,0.0
20140625,1.0,1.0,0.0,0.0,0.0,1.0
20140702,2.0,0.0,0.0,0.0,0.0,1.0
20140707,2.0,1.0,0.0,0.0,0.0,0.0
20140708,3.0,0.0,0.0,0.0,0.0,0.0
20140709,2.0,1.0,0.0,0.0,0.0,0.0
20140710,4.0,0.0,0.0,0.0,0.0,0.0
20140714,0.0,2.0,0.0,0.0,0.0,0.0
20140715,3.0,0.0,0.0,0.0,0.0,0.0
20140716,2.0,0.0,0.0,0.0,0.0,0.0
20140717,2.0,0.0,0.0,0.0,0.0,1.0
20140718,1.0,0.0,0.0,0.0,0.0,0.0
20140721,0.0,1.0,0.0,0.0,1.0,0.0
20140723,3.0,0.0,0.0,0.0,0.0,0.0
20140728,2.0,0.0,0.0,0.0,0.0,0.0
20140730,2.0,0.0,0.0,0.0,0.0,0.0
20140801,0.0,2.0,0.0,0.0,0.0,0.0
20140806,2.0,0.0,0.0,0.0,0.0,0.0
20140807,1.0,1.0,0.0,0.0,0.0,0.0
20140812,0.0,1.0,0.0,0.0,0.0,0.0
20140813,1.0,0.0,0.0,0.0,0.0,0.0
20140814,1.0,0.0,0.0,0.0,0.0,1.0
20140819,3.0,0.0,0.0,0.0,1.0,0.0
20140822,3.0,0.0,0.0,0.0,0.0,0.0
20140825,2.0,1.0,0.0,0.0,0.0,0.0
20140826,2.0,0.0,0.0,0.0,0.0,0.0
20140827,2.0,0.0,0.0,0.0,0.0,0.0
20140828,2.0,0.0,0.0,0.0,0.0,0.0
20140829,2.0,1.0,0.0,0.0,0.0,0.0
20140902,2.0,2.0,0.0,0.0,0.0,0.0
20140905,1.0,0.0,0.0,0.0,0.0,0.0
20140908,2.0,0.0,0.0,0.0,0.0,0.0
20140909,1.0,0.0,0.0,0.0,0.0,0.0
20140910,2.0,0.0,0.0,0.0,1.0,0.0
20140911,3.0,0.0,0.0,0.0,0.0,0.0
20140912,0.0,1.0,0.0,0.0,0.0,0.0
20140919,4.0,0.0,0.0,0.0,0.0,0.0
20140923,2.0,0.0,0.0,0.0,0.0,0.0
20140929,1.0,0.0,0.0,0.0,0.0,0.0
20141007,2.0,0.0,0.0,0.0,0.0,0.0
20141008,1.0,0.0,0.0,0.0,0.0,0.0
20141009,1.0,1.0,0.0,0.0,0.0,0.0
20141010,2.0,0.0,0.0,0.0,0.0,0.0
20141014,1.0,0.0,0.0,0.0,0.0,0.0
20141015,1.0,0.0,0.0,0.0,0.0,0.0
20141016,1.0,1.0,0.0,0.0,0.0,0.0
20141021,1.0,0.0,0.0,0.0,0.0,0.0
