date,Conflict,Disaster,Disease,Fund,Political/Social Unrest,Water Insecurity
20130624,1.0,0.0,0.0,0.0,0.0,0.0
20130625,0.0,1.0,0.0,0.0,0.0,0.0
20130626,1.0,0.0,0.0,0.0,0.0,0.0
20130627,1.0,0.0,1.0,0.0,0.0,0.0
20130628,2.0,0.0,0.0,0.0,0.0,0.0
20130701,4.0,0.0,0.0,0.0,0.0,0.0
20130702,0.0,1.0,0.0,0.0,0.0,0.0
20130710,2.0,0.0,0.0,0.0,0.0,0.0
20130711,1.0,0.0,0.0,0.0,0.0,0.0
20130712,1.0,0.0,0.0,0.0,0.0,0.0
20130715,2.0,0.0,0.0,0.0,0.0,0.0
20130716,0.0,1.0,0.0,0.0,0.0,0.0
20130717,1.0,0.0,0.0,0.0,0.0,0.0
20130718,1.0,0.0,0.0,0.0,0.0,0.0
20130729,1.0,0.0,0.0,0.0,0.0,0.0
20130730,1.0,0.0,0.0,0.0,0.0,0.0
20130731,2.0,0.0,0.0,0.0,0.0,0.0
20130812,1.0,0.0,1.0,0.0,0.0,0.0
20130813,1.0,0.0,0.0,0.0,0.0,1.0
20130814,2.0,0.0,0.0,0.0,0.0,0.0
20130827,1.0,0.0,0.0,0.0,0.0,0.0
20130905,0.0,2.0,0.0,0.0,0.0,0.0
20130906,1.0,0.0,0.0,0.0,0.0,0.0
20130909,2.0,0.0,0.0,0.0,0.0,0.0
20130910,0.0,1.0,0.0,0.0,0.0,0.0
20130912,0.0,1.0,0.0,0.0,0.0,1.0
20130913,2.0,1.0,0.0,0.0,0.0,0.0
20130920,3.0,0.0,0.0,0.0,0.0,0.0
20130923,1.0,0.0,0.0,0.0,0.0,0.0
20130926,2.0,0.0,0.0,0.0,0.0,0.0
20130927,1.0,0.0,0.0,0.0,0.0,0.0
20130930,2.0,0.0,0.0,0.0,0.0,0.0
20131004,1.0,0.0,0.0,0.0,0.0,0.0
20131008,0.0,1.0,0.0,0.0,0.0,0.0
20131010,1.0,0.0,0.0,0.0,0.0,0.0
20131011,1.0,0.0,0.0,0.0,0.0,0.0
20131016,2.0,0.0,0.0,0.0,0.0,0.0
20131017,1.0,0.0,0.0,0.0,0.0,0.0
20131023,2.0,1.0,0.0,0.0,0.0,0.0
20131024,0.0,0.0,0.0,0.0,0.0,1.0
20131030,1.0,0.0,0.0,0.0,0.0,0.0
20131104,1.0,0.0,0.0,0.0,0.0,0.0
20131105,2.0,1.0,0.0,0.0,0.0,0.0
20131106,3.0,0.0,0.0,0.0,0.0,0.0
20131107,1.0,0.0,0.0,0.0,0.0,0.0
20131112,1.0,0.0,0.0,0.0,0.0,0.0
20131118,4.0,1.0,0.0,0.0,0.0,0.0
20131119,2.0,1.0,0.0,0.0,0.0,0.0
20131120,1.0,0.0,0.0,0.0,0.0,0.0
20131121,2.0,0.0,0.0,0.0,0.0,0.0
20131122,0.0,0.0,0.0,1.0,0.0,0.0
20131125,1.0,0.0,0.0,0.0,0.0,0.0
20131202,2.0,0.0,0.0,0.0,0.0,0.0
20131203,1.0,0.0,0.0,0.0,0.0,0.0
20131204,2.0,0.0,0.0,0.0,0.0,0.0
20131205,0.0,1.0,0.0,0.0,0.0,0.0
20131218,2.0,0.0,0.0,0.0,0.0,0.0
20131219,1.0,0.0,0.0,0.0,0.0,0.0
20131231,1.0,0.0,0.0,0.0,0.0,0.0
20140514,2.0,0.0,0.0,0.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0,0.0,0.0
20140521,4.0,2.0,0.0,0.0,0.0,0.0
20140522,1.0,0.0,0.0,0.0,0.0,0.0
20140523,0.0,1.0,0.0,0.0,0.0,0.0
20140616,0.0,0.0,0.0,0.0,0.0,1.0
20140620,0.0,1.0,0.0,0.0,0.0,0.0
20140623,1.0,1.0,0.0,0.0,0.0,0.0
20140624,2.0,0.0,0.0,0.0,0.0,0.0
20140625,3.0,0.0,0.0,0.0,0.0,0.0
20140707,1.0,0.0,0.0,0.0,0.0,0.0
20140708,2.0,0.0,0.0,0.0,0.0,0.0
20140709,0.0,0.0,0.0,0.0,1.0,0.0
20140715,0.0,1.0,0.0,0.0,0.0,0.0
20140716,4.0,0.0,0.0,0.0,1.0,0.0
20140717,1.0,0.0,0.0,0.0,0.0,0.0
20140721,1.0,0.0,0.0,0.0,0.0,0.0
20140723,2.0,0.0,0.0,0.0,0.0,0.0
20140728,4.0,0.0,1.0,0.0,0.0,0.0
20140730,2.0,0.0,1.0,0.0,0.0,0.0
20140801,0.0,1.0,0.0,0.0,0.0,0.0
20140805,1.0,0.0,0.0,0.0,0.0,0.0
20140806,0.0,1.0,0.0,0.0,0.0,0.0
20140813,1.0,0.0,0.0,0.0,0.0,1.0
20140815,0.0,1.0,0.0,0.0,0.0,0.0
20140822,0.0,0.0,0.0,0.0,0.0,1.0
20140825,2.0,0.0,0.0,0.0,0.0,0.0
20140827,1.0,0.0,0.0,0.0,0.0,0.0
20140902,2.0,0.0,0.0,0.0,0.0,0.0
20140905,1.0,0.0,0.0,0.0,0.0,0.0
20140908,3.0,0.0,0.0,0.0,0.0,0.0
20140912,1.0,0.0,0.0,0.0,0.0,0.0
20140919,1.0,0.0,0.0,0.0,0.0,0.0
20141007,2.0,0.0,0.0,0.0,0.0,0.0
20141014,2.0,0.0,0.0,0.0,0.0,0.0
20141015,1.0,0.0,0.0,0.0,0.0,0.0
20141020,1.0,0.0,0.0,0.0,0.0,0.0
20141021,2.0,1.0,0.0,0.0,0.0,0.0
20141027,2.0,0.0,0.0,0.0,0.0,0.0
20141103,2.0,0.0,0.0,0.0,0.0,0.0
20141104,2.0,0.0,0.0,0.0,0.0,0.0
20141114,1.0,0.0,0.0,0.0,0.0,0.0
20141117,2.0,0.0,0.0,0.0,0.0,0.0
20141118,1.0,0.0,0.0,0.0,0.0,0.0
20141124,1.0,0.0,0.0,0.0,0.0,0.0
20141125,1.0,0.0,0.0,0.0,0.0,0.0
20141126,1.0,0.0,0.0,0.0,0.0,0.0
20141127,2.0,0.0,0.0,0.0,0.0,0.0
20141201,2.0,0.0,0.0,0.0,0.0,0.0
20141202,1.0,0.0,0.0,0.0,0.0,1.0
20141203,1.0,0.0,0.0,0.0,0.0,0.0
20141204,0.0,0.0,0.0,0.0,1.0,0.0
20141205,1.0,0.0,0.0,0.0,0.0,0.0
20141211,1.0,0.0,0.0,0.0,0.0,0.0
20141212,2.0,0.0,0.0,0.0,0.0,0.0
20141216,0.0,1.0,0.0,0.0,0.0,0.0
20141217,1.0,0.0,0.0,0.0,0.0,0.0
20141218,2.0,0.0,0.0,0.0,0.0,0.0
20141230,1.0,0.0,0.0,0.0,0.0,0.0
