date,Conflict,Disaster,Fund,Political/Social Unrest,Water Insecurity
20130624,1.0,0.0,0.0,0.0,0.0
20130625,2.0,0.0,0.0,0.0,0.0
20130628,1.0,0.0,0.0,0.0,0.0
20130701,2.0,0.0,0.0,0.0,0.0
20130702,3.0,0.0,0.0,0.0,0.0
20130711,2.0,0.0,0.0,0.0,0.0
20130712,1.0,0.0,0.0,0.0,0.0
20130717,0.0,0.0,0.0,1.0,0.0
20130718,1.0,0.0,0.0,0.0,0.0
20130724,1.0,0.0,0.0,0.0,0.0
20130725,1.0,0.0,0.0,0.0,0.0
20130726,2.0,0.0,0.0,0.0,0.0
20130729,2.0,0.0,0.0,0.0,0.0
20130730,0.0,0.0,0.0,1.0,0.0
20130731,2.0,1.0,0.0,0.0,0.0
20130809,1.0,0.0,0.0,1.0,0.0
20130812,1.0,0.0,0.0,0.0,0.0
20130813,1.0,0.0,0.0,0.0,0.0
20130815,1.0,0.0,0.0,0.0,0.0
20130827,2.0,0.0,0.0,0.0,0.0
20130906,1.0,1.0,0.0,0.0,0.0
20130909,2.0,0.0,0.0,0.0,0.0
20130910,1.0,0.0,0.0,0.0,0.0
20130911,1.0,0.0,0.0,0.0,0.0
20130912,1.0,0.0,0.0,0.0,0.0
20130916,3.0,0.0,0.0,1.0,0.0
20130919,1.0,0.0,0.0,0.0,0.0
20130920,2.0,0.0,0.0,0.0,0.0
20130923,1.0,0.0,0.0,0.0,0.0
20130924,1.0,0.0,0.0,0.0,0.0
20130926,1.0,0.0,0.0,0.0,0.0
20130927,1.0,0.0,0.0,0.0,0.0
20130930,2.0,0.0,0.0,1.0,0.0
20131004,3.0,0.0,0.0,1.0,0.0
20131008,0.0,0.0,0.0,1.0,0.0
20131009,1.0,0.0,0.0,0.0,0.0
20131010,1.0,0.0,0.0,0.0,0.0
20131011,1.0,1.0,0.0,0.0,0.0
20131014,1.0,0.0,0.0,0.0,0.0
20131016,1.0,0.0,0.0,1.0,0.0
20131017,1.0,0.0,0.0,0.0,0.0
20131018,2.0,0.0,0.0,0.0,0.0
20131023,2.0,0.0,0.0,0.0,0.0
20131024,0.0,0.0,0.0,1.0,0.0
20131030,1.0,0.0,0.0,0.0,0.0
20131031,0.0,1.0,0.0,0.0,0.0
20131104,1.0,0.0,0.0,1.0,0.0
20131105,1.0,0.0,0.0,1.0,0.0
20131106,1.0,0.0,0.0,0.0,0.0
20131107,2.0,0.0,0.0,0.0,0.0
20131108,1.0,0.0,0.0,0.0,0.0
20131111,1.0,0.0,0.0,0.0,0.0
20131115,1.0,0.0,0.0,0.0,0.0
20131119,1.0,0.0,0.0,0.0,0.0
20131120,1.0,0.0,0.0,0.0,1.0
20131121,1.0,0.0,0.0,0.0,0.0
20131122,1.0,0.0,0.0,0.0,0.0
20131125,2.0,0.0,0.0,0.0,0.0
20131129,1.0,0.0,0.0,0.0,0.0
20131202,2.0,0.0,0.0,0.0,0.0
20131203,1.0,0.0,0.0,0.0,0.0
20131205,1.0,0.0,0.0,0.0,0.0
20131219,1.0,0.0,0.0,0.0,0.0
20131230,2.0,0.0,0.0,0.0,0.0
20131231,1.0,1.0,0.0,0.0,0.0
20140514,1.0,1.0,0.0,0.0,0.0
20140516,2.0,0.0,0.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0,0.0
20140523,1.0,0.0,0.0,0.0,0.0
20140605,2.0,0.0,0.0,0.0,0.0
20140606,1.0,0.0,0.0,0.0,0.0
