date,Conflict,Disaster,Disease,Food Insecurity,Fund,Political,Water Insecurity
20130624,1.0,0.0,0.0,1.0,0.0,0.0,0.0
20130625,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130627,0.0,2.0,0.0,0.0,0.0,0.0,1.0
20130702,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130710,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130712,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130724,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130726,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130813,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130814,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20130827,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130923,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131004,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131014,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131016,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20131018,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131025,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131030,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131031,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131104,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20131106,0.0,3.0,0.0,0.0,0.0,0.0,0.0
20131107,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131108,1.0,0.0,0.0,0.0,0.0,1.0,0.0
20131113,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131115,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20131120,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20131122,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131202,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131219,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131230,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131231,2.0,1.0,0.0,0.0,0.0,0.0,0.0
20140516,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20140521,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20140522,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140523,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140605,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140606,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140616,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140620,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20140623,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20140625,2.0,1.0,0.0,0.0,0.0,0.0,0.0
20140709,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140715,4.0,1.0,0.0,0.0,0.0,0.0,0.0
20140716,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20140718,4.0,1.0,0.0,0.0,0.0,0.0,0.0
20140721,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140722,5.0,0.0,0.0,0.0,0.0,0.0,0.0
20140723,6.0,0.0,0.0,0.0,0.0,0.0,0.0
20140728,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20140730,5.0,0.0,0.0,0.0,0.0,0.0,0.0
20140801,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20140804,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20140805,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20140806,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20140807,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140812,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20140813,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20140814,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140819,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20140822,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140825,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20140826,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20140827,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140828,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140829,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140902,2.0,0.0,0.0,0.0,0.0,1.0,0.0
20140905,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140908,0.0,2.0,0.0,0.0,0.0,0.0,0.0
20140912,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140923,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20141007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141010,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141014,1.0,2.0,0.0,0.0,0.0,0.0,0.0
20141016,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141020,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20141021,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20141022,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20141027,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20141031,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20141105,1.0,2.0,0.0,0.0,0.0,1.0,0.0
20141114,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20141117,1.0,0.0,0.0,0.0,0.0,0.0,0.0
