date,Conflict,Disaster,Disease,Food Insecurity,Fund,Political/Social Unrest,Water Insecurity
20130625,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130626,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130628,1.0,1.0,0.0,0.0,0.0,1.0,0.0
20130701,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130710,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20130712,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130716,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130717,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20130725,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20130729,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130731,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130801,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130809,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130812,1.0,1.0,0.0,0.0,0.0,1.0,0.0
20130814,1.0,0.0,2.0,0.0,0.0,1.0,0.0
20130815,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130905,2.0,0.0,1.0,0.0,0.0,0.0,0.0
20130909,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130910,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130911,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130912,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130913,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130916,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130919,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20130923,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130924,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130927,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20130930,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131004,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20131009,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131010,1.0,0.0,0.0,0.0,0.0,1.0,0.0
20131011,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20131014,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20131016,2.0,1.0,0.0,0.0,0.0,0.0,0.0
20131017,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131018,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20131023,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20131024,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20131030,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20131104,2.0,1.0,0.0,0.0,0.0,0.0,0.0
20131105,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20131107,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131111,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20131113,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20131115,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131118,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20131119,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131120,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20131121,2.0,0.0,0.0,0.0,1.0,0.0,0.0
20131122,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131125,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20131129,4.0,0.0,0.0,0.0,0.0,0.0,0.0
20131202,1.0,0.0,0.0,0.0,0.0,0.0,1.0
